,UPDATED 1/29/2025,Grey highlighted lines represent example base/non-promoted transactions,,,,,,,,,,,,,CARTON/ROLL UPCs should reflect CARTON/ROLL discount rates,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FIELD #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,
Scenario,,Outlet Name,Outlet Number,Address 1,Address 2,City,State,Zip,Transaction Date,Market Basket ID,Scan ID,Register ID,Quantity,Price,UPC Code,UPC Description,Unit Of Measure,Promo Flag,Outlet MultiPack Flag,Outlet MultiPack Quantity,Outlet MultiPack Disc Amt,Acct Promo Name,Acct Disc Amt,Mfg Disc Amt,PID Coupon,PID Coupon Disc,Mfg MultiPack Flag,Mfg MultiPack Quantity,Mfg MultiPack Disc Amt,Mfg Promo Desc,Mfg BuyDown Desc,Mfg BuyDown Amt,Mfg MultiPack Desc,Acct Loyalty ID ,Coupon Desc,
1,VOID,Store 1,1,1234 Main St,,Anytown,OH,45429,2017-11-01-19:41:00,123456,1,1,1,5.70,1230020608,Camel Bl 99 Bx,Pack,N,,,,,,,,,,,,,RJR Buydown,0.70,,,,
,,Store 1,1,1234 Main St,,Anytown,OH,45429,2017-11-01-19:41:02,123456,2,1,-1,5.70,1230020608,Camel Bl 99 Bx,Pack,N,,,,,,,,,,,,,RJR Buydown,0.70,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Store 1,1,1234 Main St,,Anytown,OH,45429,2017-11-01-19:41:00,123456,1,1,1,57.00,12300260138,Camel Bl 99 Bx,Carton,N,,,,,,,,,,,,,RJR Buydown,0.70,,,,
,,Store 1,1,1234 Main St,,Anytown,OH,45429,2017-11-01-19:41:02,123456,2,1,-1,57.00,12300260138,Camel Bl 99 Bx,Carton,N,,,,,,,,,,,,,RJR Buydown,0.70,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Pre-Priced - Grizzly PP $2.75,Store 1,1,1234 Main St,,Anytown,OH,45429,2017-11-01-19:41:00,123456,1,1,1,4.50,42100011319,Grizzly Prm Dk Mnt LC,Can,N,,,,,,,,,,,,,RJR Buydown,0.50,,,,
,,Store 1,1,1234 Main St,,Anytown,OH,45429,2017-11-01-19:41:02,123456,2,1,1,2.75,42100023886,Grizzly Prm Dk Mnt LC PP $2.75,Can,N,,,,,,,,,,,,,RJR Buydown,0.50,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Account Promotion - $2 off all carton purchases,Store 1,1,1234 Main St,,Anytown,OH,45429,2017-11-01-19:41:00,123456,1,1,1,57.00,12300260138,Camel Bl 99 Bx,Carton,N,,,,,,,,,,,,,RJR Buydown,7.00,,,,
,,Store 1,1,1234 Main St,,Anytown,OH,45429,2017-11-01-19:41:00,123456,1,1,1,55.00,12300260138,Camel Bl 99 Bx,Carton,Y,,,,Carton Discount $2.00,2.00,,,,,,,,RJR Buydown,7.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,MFG VAP Discount - Camel $0.75 Off,Store 1,1,1234 Main St,,Anytown,OH,45429,2017-11-01-19:41:00,123456,1,1,1,5.75,12300000949,Camel Crush Slvr 85 Bx Men,Pack,N,,,,,,,,,,,,,RJR Buydown,0.70,,,,
,,Store 1,1,1234 Main St,,Anytown,OH,45429,2017-11-01-19:41:00,123456,1,1,1,5.00,12300502603,Camel Crush Slvr 85 Bx Men $0.75 Off,Pack,Y,,,,,,0.75,,,,,,RJR VAP $0.75,RJR Buydown,0.70,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Store 1,1,1234 Main St,,Anytown,OH,45429,2017-11-01-19:41:00,123456,1,1,1,57.50,12300194136,Camel Crush Slvr 85 Bx Men,Carton,N,,,,,,,,,,,,,RJR Buydown,7.00,,,,
,,Store 1,1,1234 Main St,,Anytown,OH,45429,2017-11-01-19:41:00,123456,1,1,1,50.00,12300502597,Camel Crush Slvr 85 Bx Men $0.75 Off,Carton,Y,,,,,,7.50,,,,,,RJR VAP $7.50,RJR Buydown,7.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MFG VAP Discount - Grizzly B1G1,Store 1,1,1234 Main St,,Anytown,OH,45429,2017-11-01-19:41:00,123456,1,1,1,4.50,42100011319,Grizzly Prm Dk Mnt LC,Can,N,,,,,,,,,,,,,RJR Buydown,0.50,,,,
,,Store 1,1,1234 Main St,,Anytown,OH,45429,2017-11-01-19:41:00,123456,1,1,1,4.50,42100023343,Grizzly Prm Dk Mnt LC B1G1,Can,Y,,,,,,4.50,,,,,,RJR VAP B1G1,RJR Buydown,0.50,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"MFG VAP Discount - Grizzly B2G $1.00 
Cans are bundled together in cardboard sleeve buy 2 save $1",Store 1,1,1234 Main St,,Anytown,OH,45429,2017-11-01-19:41:00,123456,1,1,1,4.50,42100011760,Grizzly Wntrgrn LC,Can,N,,,,,,,,,,,,,RJR Buydown,0.50,,,,
,,Store 1,1,1234 Main St,,Anytown,OH,45429,2017-11-01-19:41:00,123456,1,1,1,8.00,42100023305,Grizzly Wntrgrn LC $1.00 Off 2 Cans,Can,Y,,,,,,1.00,,,,,,RJR VAP B2G$1.00,RJR Buydown,0.50,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,JBF - Pall Mall $0.20 per pack,Store 1,1,1234 Main St,,Anytown,OH,45429,2017-11-01-19:41:00,123456,1,1,1,5.25,27200004171,Pall Mall Classic Menthol 100 Box,Pack,N,,,,,,,,,,,,,RJR Buydown,1.00,,,,
,,Store 1,1,1234 Main St,,Anytown,OH,45429,2017-11-01-19:41:00,123456,1,1,1,5.05,27200004171,Pall Mall Classic Menthol 100 Box,Pack,Y,,,,,,0.20,,,,,,JBF,RJR Buydown,1.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MFG Buydown - $7.00 per carton (pack: $0.70),Store 1,1,1234 Main St,,Anytown,OH,45429,2017-11-01-19:41:00,123456,1,1,1,5.70,1230020608,Camel Bl 99 Bx,Pack,N,,,,,,,,,,,,,RJR Buydown,0.70,,,,
,,Store 1,1,1234 Main St,,Anytown,OH,45429,2017-11-01-19:41:00,123456,1,1,1,5.70,1230020608,Camel Bl 99 Bx,Pack,N,,,,,,,,,,,,,RJR Buydown,0.70,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Store 1,1,1234 Main St,,Anytown,OH,45429,2017-11-01-19:41:00,123456,1,1,1,57.00,12300260138,Camel Bl 99 Bx,Carton,N,,,,,,,,,,,,,RJR Buydown,7.00,,,,
,,Store 1,1,1234 Main St,,Anytown,OH,45429,2017-11-01-19:41:00,123456,1,1,1,57.00,12300260138,Camel Bl 99 Bx,Carton,N,,,,,,,,,,,,,RJR Buydown,7.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Mobile/Paper Coupon - $1.00 off a pack of Camel,Store 1,1,1234 Main St,,Anytown,OH,45429,2017-11-01-19:41:00,123456,1,1,1,5.70,1230020608,Camel Bl 99 Bx,Pack,N,,,,,,,,,,,,,RJR Buydown,0.70,,,,
,,Store 1,1,1234 Main St,,Anytown,OH,45429,2017-11-01-19:41:00,123456,1,1,1,4.70,1230020608,Camel Bl 99 Bx,Pack,Y,,,,,,,512300211760,1.00,,,,,RJR Buydown,0.70,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Mobile/Paper Coupon - $1.00 off a pack, on a $0.75 off a pack value-added product (VAP)",Store 1,1,1234 Main St,,Anytown,OH,45429,2017-11-01-19:41:00,123456,1,1,1,5.00,12300502603,Camel Crush Slvr 85 Bx Men $0.75 Off,Pack,Y,,,,,,0.75,,,,,,RJR VAP $0.75,RJR Buydown,0.70,,,,
,,Store 1,1,1234 Main St,,Anytown,OH,45429,2017-11-01-19:41:00,123456,1,1,1,4.00,12300502603,Camel Crush Slvr 85 Bx Men $0.75 Off,Pack,Y,,,,,,0.75,123456,1.00,,,,RJR VAP $0.75,RJR Buydown,0.70,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Mobile/Paper Coupon - 4 items purchased, each with a $1.00 off coupon",Store 1,1,1234 Main St,,Anytown,OH,45429,2017-11-01-19:41:00,123456,1,1,4,5.70,1230020608,Camel Bl 99 Bx,Pack,N,,,,,,,,,,,,,RJR Buydown,0.70,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Store 1,1,1234 Main St,,Anytown,OH,45429,2017-11-01-19:41:00,123456,1,1,1,4.70,1230020608,Camel Bl 99 Bx,Pack,Y,,,,,,,512300211760,1.00,,,,,RJR Buydown,0.70,,,,
,,Store 1,1,1234 Main St,,Anytown,OH,45429,2017-11-01-19:41:02,123456,2,1,1,4.70,1230020608,Camel Bl 99 Bx,Pack,Y,,,,,,,512300211760,1.00,,,,,RJR Buydown,0.70,,,,
,,Store 1,1,1234 Main St,,Anytown,OH,45429,2017-11-01-19:41:04,123456,3,1,1,4.70,1230020608,Camel Bl 99 Bx,Pack,Y,,,,,,,512300211760,1.00,,,,,RJR Buydown,0.70,,,,
,,Store 1,1,1234 Main St,,Anytown,OH,45429,2017-11-01-19:41:06,123456,4,1,1,4.70,1230020608,Camel Bl 99 Bx,Pack,Y,,,,,,,512300211760,1.00,,,,,RJR Buydown,0.70,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Store 1,1,1234 Main St,,Anytown,OH,45429,2017-11-01-19:41:00,123456,1,1,1,4.70,1230020608,Camel Bl 99 Bx,Pack,Y,,,,,,,512300211760,1.00,,,,,RJR Buydown,0.70,,,,
,,Store 1,1,1234 Main St,,Anytown,OH,45429,2017-11-01-19:41:02,123456,2,1,3,4.70,1230020608,Camel Bl 99 Bx,Pack,Y,,,,,,,512300211760,1.00,,,,,RJR Buydown,0.70,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Store 1,1,1234 Main St,,Anytown,OH,45429,2017-11-01-19:41:00,123456,1,1,4,4.70,1230020608,Camel Bl 99 Bx,Pack,Y,,,,,,,512300211760,1.00,,,,,RJR Buydown,0.70,,,,